"Source:","/home/arthurvff/IFPB/Prototipagem/Kit didatico/Kit didatico/Kit didatico.kicad_sch"
"Date:","ter 31 mai 2022 21:11:52"
"Tool:","Eeschema 6.0.4-6f826c9f35~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","129"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","SW10","SW_DIP_x08","Switch:SW_DIP_x08","Button_Switch_SMD:SW_DIP_SPSTx08_Slide_6.7x21.88mm_W6.73mm_P2.54mm_LowProfile_JPin","~","","","","","",""
"","","SW11","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_CW_GPTS203211B","~","","","","","",""
"","","SW12","RotaryEncoder_Switch","Device:RotaryEncoder_Switch","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","~","","","","","",""
"","","SW13","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_CW_GPTS203211B","~","","","","","",""
"","","SW14","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_CW_GPTS203211B","~","","","","","",""
"","","SW15","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_CW_GPTS203211B","~","","","","","",""
"","","SW16","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_CW_GPTS203211B","~","","","","","",""
"","","SW17","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_CW_GPTS203211B","~","","","","","",""
"","","SW18","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_CW_GPTS203211B","~","","","","","",""
"","","SW19","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_CW_GPTS203211B","~","","","","","",""
"","","SW20","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_CW_GPTS203211B","~","","","","","",""
"","","U1","D168K","Display_Character:D168K","Display_7Segment:D1X8K","https://ia800903.us.archive.org/24/items/CTKD1x8K/Cromatek%20D168K.pdf","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","BZ1","Buzzer 5V","Device:Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~","","","","","",""
"2","8","D1, D2, D3, D4, D5, D6, D7, D8","SFH4356P","LED:SFH4356P","LED_THT:LED_D3.0mm_IRBlack","http://www.osram-os.com/Graphics/XPic5/00181708_0.pdf","","","","","",""
"3","1","D9","LED_RGB","Device:LED_RGB","LED_SMD:LED_RGB_5050-6","~","","","","","",""
"4","1","D10","LED","Device:LED","LED_THT:LED_D3.0mm_IRBlack","~","","","","","",""
"5","1","IC1","ESP32-S3-WROOM-1-N8R2","ESP32-S3-WROOM-1-N8R2:ESP32-S3-WROOM-1-N8R2","ESP32S3WROOM:ESP32S3WROOM1N8R2","https://www.mouser.com/catalog/specsheets/Espressif_ESP32_S3_WROOM_1_1U_Preliminary.pdf","WiFi Modules - 802.11 (Engineering Samples Only) SMD Module, ESP32-S3R2, 2 MB PSRAM, 8 MB SPI Flash, PCB Antenna ,,","3.25","Espressif Systems","ESP32-S3-WROOM-1-N8R2","356-ESP32-S3WRM1N8R2","https://www.mouser.co.uk/ProductDetail/Espressif-Systems/ESP32-S3-WROOM-1-N8R2?qs=Wj%2FVkw3K%252BMCC1Ha9x85iJA%3D%3D"
"6","2","J1, J8","Conn_01x03_Female","Connector:Conn_01x03_Female","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","","","","","",""
"7","2","J2, J5","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","","","","","",""
"8","2","J3, J4","Conn_01x05_Female","Connector:Conn_01x05_Female","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","","",""
"9","2","J6, J7","Conn_01x08_Male","Connector:Conn_01x08_Male","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","","","",""
"10","1","J9","Jack-DC","Connector:Jack-DC","Connector_BarrelJack:BarrelJack_SwitchcraftConxall_RAPC10U_Horizontal","~","","","","","",""
"11","54","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R61, R62, R63, R64, R65, R66, R67, R68, R83","1k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","",""
"12","16","R20, R21, R22, R23, R24, R25, R26, R27, R54, R55, R56, R57, R58, R59, R60, R86","180","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","",""
"13","9","R69, R76, R77, R78, R79, R81, R82, R84, R85","5k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","",""
"14","4","R70, R71, R72, R75","1K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","",""
"15","2","R73, R74","5K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","",""
"16","1","R80","LDR03","Sensor_Optical:LDR03","OptoDevice:R_LDR_10x8.5mm_P7.6mm_Vertical","http://www.elektronica-componenten.nl/WebRoot/StoreNL/Shops/61422969/54F1/BA0C/C664/31B9/2173/C0A8/2AB9/2AEF/LDR03IMP.pdf","","","","","",""
"17","1","RV1","R_Potentiometer_Trim","Device:R_Potentiometer_Trim","Potentiometer_THT:Potentiometer_ACP_CA9-V10_Vertical","~","","","","","",""
"18","10","SW1, SW11, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW20","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_CW_GPTS203211B","~","","","","","",""
"19","2","SW2, SW4","SW_DIP_x04","Switch:SW_DIP_x04","Button_Switch_SMD:SW_DIP_SPSTx04_Slide_6.7x11.72mm_W6.73mm_P2.54mm_LowProfile_JPin","~","","","","","",""
"20","1","SW3","SW_DIP_x03","Switch:SW_DIP_x03","Button_Switch_SMD:SW_DIP_SPSTx03_Slide_6.7x9.18mm_W6.73mm_P2.54mm_LowProfile_JPin","~","","","","","",""
"21","2","SW5, SW6","SW_DIP_x05","Switch:SW_DIP_x05","Button_Switch_SMD:SW_DIP_SPSTx05_Slide_6.7x14.26mm_W6.73mm_P2.54mm_LowProfile_JPin","~","","","","","",""
"22","4","SW7, SW8, SW9, SW10","SW_DIP_x08","Switch:SW_DIP_x08","Button_Switch_SMD:SW_DIP_SPSTx08_Slide_6.7x21.88mm_W6.73mm_P2.54mm_LowProfile_JPin","~","","","","","",""
"23","1","SW12","RotaryEncoder_Switch","Device:RotaryEncoder_Switch","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","~","","","","","",""
"24","1","U1","D168K","Display_Character:D168K","Display_7Segment:D1X8K","https://ia800903.us.archive.org/24/items/CTKD1x8K/Cromatek%20D168K.pdf","","","","","",""
